usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,global_id
HDLM,0,3,0,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,33
SHJ,0,0,100,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,34
SHJ,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,34
SHJ,0,2,25,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,34
SHJ,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,34
SHJ,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,34
SHJ,1,1,100,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,34
SHJ,1,2,25,50,0.458904671142526,0.8955263303423449,0.3041781438270339,34
SHJ,1,3,25,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,34
GFP,0,0,25,0,0.5255373137825703,0.6452670144837881,0.2768108646941967,35
GFP,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,35
GFP,0,2,25,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,35
GFP,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,35
GFP,1,0,75,100,0.4595593475463711,0.868748699972358,0.2627338334810066,35
GFP,1,1,0,50,0.4597135588354613,0.8667269593721654,0.2885390361195653,35
GFP,1,2,75,100,0.458904671142526,0.8955263303423449,0.3041781438270339,35
GFP,1,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,35
MATG,0,0,50,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,36
MATG,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,36
MATG,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,36
MATG,0,3,0,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,36
MATG,1,0,100,75,0.459167682928114,0.8651705018746499,0.1011079520794157,36
MATG,1,1,0,0,0.45307523226941504,0.9444322826768645,0.27506205796285244,36
